테이블명,컬럼명,검단신도시 파밀리에 엘리프 (AA32블록)
모든 테이블 공통 사항,청약명,검단신도시 파밀리에 엘리프 (AA32블록)
일반정보,1순위조건,입주자저축에 가입하여 가입기간이 12개월이 경과하고 지역별 면적별 · 예치금액 이상 납입한 분
일반정보,2순위조건, 입주자저축에 가입하였으나 1순위에 해당되지 않는 분
일반정보,공급대상,
일반정보,분양금액,
일반정보,청약통장 자격요건 - 예치금액,
일반정보,청약신청 방법 및 절차(PC·모바일),"- 경로 : 청약홈 접속 → 인증서 로그인 → 청약신청 → APT → 신청유형 및 주택명 선택 → 청약자격 등 입력 → 인증서를 통한 전자서명 → 청약신청 완료
- 청약신청 시간* : 09:00~17:30
* 17:30까지 청약신청 완료해야 하며, 청약 신청 진행 중 17:30이 경과하면 청약신청이 되지 않으므로 유의하시기 바랍니다."
일반정보,"공고단지
청약연습","- 공고일 다음날부터 일반공급 청약신청 전날까지 세대원을 등록하고, 해당 세대원(성년자에 한함)의 개인정보 동의가 완료되면, 실제 청약하고자 하는
모집공고에 대한 신청자 및 세대원의 청약자격(주택소유 및 각종 청약제한사실)을 미리 알아볼 수 있어, 부적격자 발생을 최소화하도록 지원합니다.
- 세대원 등록방법 : 청약자격확인 → 세대구성원 등록/조회 및 세대구성원 동의
- 이용방법 : 공고단지 청약연습 → 공고단지 청약연습 신청(단, 세대구성원 등록 생략 시 신청자 본인에 대해서만 청약자격 검증)"
단지 주요정보,주택유형,민영
단지 주요정보,해당지역,인천광역시 거주자
단지 주요정보,기타지역,수도권 거주자 서울특별시 및 경기도 
단지 주요정보,규제지역여부, 비규제지역
단지 주요정보,재당첨제한,10년
단지 주요정보,전매제한,3년
단지 주요정보,거주의무기간,없음
단지 주요정보,분양가상한제,적용
단지 주요정보,택지유형,"공공택지, 대규모택지"
단지 주요정보,지역,인천
청약일정,입주자모집공고일,2024.12.20.(금)
청약일정,특별공급 접수일,2024.12.30.(월)
청약일정,일반공급 1순위 접수일,2024.12.31.(화)
청약일정,일반공급 2순위 접수일,2025.01.02.(목)
청약일정,당첨자발표일,2025.01.08.(수)
청약일정,서류접수,"2025.01.11.(토)~ 
2025.01.15.(수) "
청약일정,계약체결,"2025.01.19.(일)~ 
2025.01.21.(화)"
신혼부부 특별공급,대상자,"■ 최초 입주자모집공고일 현재 인천광역시에 거주하거나 수도권 (서울특별시, 경기도) 에 거주하는 무주택세대구성원
 - 신혼부부는 혼인신고일부터 입주자모집공고일 현재까지 계속 무주택자이어야 합니다
※ 단 혼인기간 중 주택을 소유한 적이 있는 분은 2018.12.11.전에 기존 소유 주택을 처분한 이후 입주자모집공고일까지 계속하여 무주택세대구성원을 유지하고 입주자모집공고일 현재 무
주택기간이 2년을 경과한 경우에 신혼부부 특별공급 특례에 따라 2순위 청약 가능 (부칙 제 5조 신혼부부 특별공급 특례)
■ 혼인기간이 7년 이내 (혼인신고일 기준, 동일인과의 재혼인 경우에는 이전 혼인기간을 포함) 인 분
■ 「신혼부부 주택 특별공급 운용지침 」 에서 정하는 소득기준 또는 자산기준을 충족하는 분
■ 청약통장 가입기간 개월 경과 지역별 면적별 예치금액 이상 한 분"
신혼부부 특별공급,당첨자 선정방법 - 선정순서, ①소득구분 → ②순위 → ③지역 → ④미성년 자녀수 → ⑤추첨
신혼부부 특별공급,당첨자 선정방법 -  소득구분,
신혼부부 특별공급,당첨자 선정방법 -  순위,"1순위 : 현재 혼인관계에 있는 배우자와의 혼인기간 중 자녀를 출산(태아, 입양자녀 포함)하여 미성년 자녀가 있는 분
2순위 : 자녀가 없는 분 또는 2018.12.11. 전 기존 주택을 처분하고 무주택기간이 2년을 경과한 분"
신혼부부 특별공급,당첨자 선정방법 -  지역,해당 주택건설지역 인천광역시 거주하는 자에게 50%를 우선 공급하고 나머지 50%는 인천광역시 거주자 중 우선공급에서 낙첨된 자를 포함하여 수도권 거주자 서울특별시 경기도 에게 공급합니다 
신혼부부 특별공급,2023년도 도시근로자 가구원수별 가구당 월평균 소득 기준,
신혼부부 특별공급,자산보유기준,
생애최초 특별공급,대상자,"■ 최초 입주자모집공고일 현재 인천광역시에 거주하거나 수도권 서울특별시 경기도 에 거주하는 무주택세대구성원 
 -  신혼부부는 혼인신고일부터 입주자모집공고일 현재까지 계속 무주택자이어야 합니다
 ※ 단 혼인기간 중 주택을 소유한 적이 있는 분은 2018.12.11. 전에 기존 소유 주택을 처분한 이후 입주자모집공고일까지 계속하여 무주택세대구성원을 유지하고 입주자모집공고일 현재 무
주택기간이 2년을 경과한 경우에 신혼부부 특별공급 특례에 따라 2순위 청약 가능 (부칙 제 5조 신혼부부 특별공급 특례) 
■ 혼인기간이 7년 이내 (혼인신고일 기준, 동일인과의 재혼인 경우에는 이전 혼인기간을 포함) 인 분
■ 「신혼부부 주택 특별공급 운용지침」  에서 정하는 소득기준 또는 자산기준을 충족하는 분
■ 청약통장 가입기간 개월 경과 지역별 면적별 예치금액 이상 한 분 "
생애최초 특별공급,당첨자 선정방법 - 선정순서,①소득구분 → ②지역 → ③추첨
생애최초 특별공급,당첨자 선정방법 -  소득구분,
생애최초 특별공급,당첨자 선정방법 -  지역,"해당 주택건설지역 인천광역시 거주하는 자에게 를 우선 공급하고 나머지 는 인천광역시 거주자 중 우선공급에서 낙첨된 자를 포함하여 수도권 거주자 (서울특별시, 경기
도) 에게 공급합니다 "
생애최초 특별공급,2023년도 도시근로자 가구원수별 가구당 월평균 소득 기준,
생애최초 특별공급,자산보유기준,
